Name;Order;Portrait;Country;Flag;Gender;Flights;Total Flights;Total Flight Time (ddd:hh:mm)s
Yelena Kondakova;327;https://cdn.sanity.io/images/2vtv415l/production/83ee7e973ab4a3256a15b1ce687c507aa7e072b5-392x480.jpg;Russia;🇷🇺;Woman;Soyuz TM-20 (1994), STS-84 (1997);2;178:09:41
Eileen Collins;331;https://cdn.sanity.io/images/2vtv415l/production/8387fb6e92d07202c0584c730a054cb022fa60a2-2615x3269.jpg;United States;🇺🇸;Woman;STS-63 (1995), STS-84 (1997), STS-93 (1999), STS-114 (2005);4;036:07:10
Wendy Lawrence;334;https://cdn.sanity.io/images/2vtv415l/production/efdb5bf244f8eddd5a66749a37fb0f833c4b5ed0-1024x1280.jpg;United States;🇺🇸;Woman;STS-67 (1995), STS-86 (1997), STS-91 (1998), STS-114 (2005);4;052:03:55
Mary Weber;338;https://cdn.sanity.io/images/2vtv415l/production/a873518368d0d1f490a80453760477440ca3f99c-1023x1280.jpg;United States;🇺🇸;Woman;STS-70 (1995), STS-101 (2000);2;018:18:29
Catherine Coleman;343;https://cdn.sanity.io/images/2vtv415l/production/65eb009b09328edcfc87e11198292f60c2d29174-4620x5775.jpg;United States;🇺🇸;Woman;STS-73 (1995), STS-93 (1999), Soyuz TMA-20 (2010);3;180:03:59
Claudie Haigneré;362;https://cdn.sanity.io/images/2vtv415l/production/5826662916159cbd6a8837d0d8b67854939e2100-2030x2910.jpg;France;🇫🇷;Woman;Soyuz TM-24 (1996), Soyuz TM-33 (2001);2;025:14:24
Susan Still Kilrain;365;https://cdn.sanity.io/images/2vtv415l/production/0f6d6805ebe6c6bef30cd2eae56cb335790fe00a-477x600.jpg;United States;🇺🇸;Woman;STS-83 (1997), STS-94 (1997);2;019:15:57
Kalpana Chawla;376;https://cdn.sanity.io/images/2vtv415l/production/a05f97e4dbb6fa517445cf7b9217092eeddfd349-2400x3000.jpg;United States;🇺🇸;Woman;STS-87 (1997), STS-107 (2003);2;031:14:54
Kathryn Hire;386;https://cdn.sanity.io/images/2vtv415l/production/7bd2e0d4bf1337a662e97974ca74ca14d6ed3c67-3200x4000.jpg;United States;🇺🇸;Woman;STS-90 (1998), STS-130 (2010);2;029:15:58
Janet Kavandi;390;https://cdn.sanity.io/images/2vtv415l/production/062121602b71789817b14627bdee02d6111267a6-3600x4500.jpg;United States;🇺🇸;Woman;STS-91 (1998), STS-99 (2000), STS-104 (2001);3;033:20:07
Julie Payette;397;https://cdn.sanity.io/images/2vtv415l/production/5340c76be86bfc3173f938507c6fd38183e40604-2244x3000.jpg;Canada;🇨🇦;Woman;STS-96 (1999), STS-127 (2009);2;025:07:58
Pamela Melroy;407;https://cdn.sanity.io/images/2vtv415l/production/e6a951f2cce971841e354f1840dde6a4e430d1f0-1023x1280.jpg;United States;🇺🇸;Woman;STS-92 (2000), STS-112 (2002), STS-120 (2007);3;038:20:04
Peggy Whitson;429;https://cdn.sanity.io/images/2vtv415l/production/dc52d1faa9412a22e35feb256bd4ac11e349472f-1023x1280.jpg;United States;🇺🇸;Woman;STS-111 (2002), Soyuz TMA-11 (2007), Soyuz MS-03 (2016);3;665:22:27
Sandra Magnus;432;https://cdn.sanity.io/images/2vtv415l/production/8631f87eb2304affbb4d391698a892274b427d8e-1023x1280.jpg;United States;🇺🇸;Woman;STS-112 (2002), STS-126 (2008), STS-135 (2011);3;157:08:44
Laurel Clark;439;https://cdn.sanity.io/images/2vtv415l/production/69c8f8f2ab0203e045b51e64baacdbb2c4b60768-2205x3000.jpg;United States;🇺🇸;Woman;STS-107 (2003);1;015:22:20
Lisa Nowak;454;https://cdn.sanity.io/images/2vtv415l/production/a36f8f89da2b8505a2870918f216c39d2e10e175-3200x4000.jpg;United States;🇺🇸;Woman;STS-121 (2006);1;012:18:36
Stephanie Wilson;455;https://cdn.sanity.io/images/2vtv415l/production/d85247eb02cb4775f9f332a058194857aa3235aa-1024x1280.jpg;United States;🇺🇸;Woman;STS-121 (2006), STS-120 (2007), STS-131 (2010);3;042:23:47
Heidemarie Stefanyshyn-Piper;457;https://cdn.sanity.io/images/2vtv415l/production/8b0e3b1136ba1776f4be252a621b265587682a1c-4637x5796.jpg;United States;🇺🇸;Woman;STS-115 (2006), STS-126 (2008);2;027:15:36
Anousheh Ansari;458;https://cdn.sanity.io/images/2vtv415l/production/5e224d3615abe89f5b3af004bb5a3d801bd9e0bd-2250x3056.jpg;Iran;🇮🇷;Woman;Soyuz TMA-9 (2006);1;010:21:05
Joan Higginbotham;462;https://cdn.sanity.io/images/2vtv415l/production/f80122ed8dd1982d2097c9723e7e34613e5e4399-3200x4000.jpg;United States;🇺🇸;Woman;STS-116 (2006);1;012:20:44
Sunita Williams;463;https://cdn.sanity.io/images/2vtv415l/production/232941f4252323134da184c062a9ff6859aa0b39-1024x1280.jpg;United States;🇺🇸;Woman;STS-116 (2006), Soyuz TMA-05M (2012);2;321:17:15
